ITB_No,Vendor Name,PO No,Currency,PO Value in Original Currency,PO Value in Original CAD,Total Claimed in PO in current ITB,Original_currency_current_ITB,Exchange_Rate_current_ITB,Total Claimed in PO until current ITB,Remaining in PO after current ITB
ITB_SAN_01,VENDOR_000001,PO_000001,CAD,826.91,795.21,0.00,,,858.41,0.00
ITB_SAN_01,VENDOR_000002,PO_000002,CAD,50.30,51.29,0.00,,,49.02,2.27
ITB_SAN_01,VENDOR_000003,PO_000003,CAD,"346,213.37","360,499.05",0.00,,,"29,143.31","331,355.74"
ITB_SAN_01,VENDOR_000003,PO_000004,CAD,"390,600.66","395,617.92",0.00,,,"303,368.99","92,248.93"
ITB_SAN_01,VENDOR_000003,PO_000005,CAD,"1,740,008.45","1,758,555.22","220,655.29",,,"330,570.10","1,427,985.11"
ITB_SAN_01,VENDOR_000004,PO_000006,CAD,"92,401.90","90,576.73","5,756.05",,,0.00,"90,576.73"
ITB_SAN_01,VENDOR_000004,PO_000007,CAD,"104,333.62","112,069.43",0.00,,,"26,539.06","85,530.37"
ITB_SAN_01,VENDOR_000004,PO_000008,CAD,"144,646.58","137,850.58","13,508.73",,,0.00,"137,850.58"
ITB_SAN_01,VENDOR_000004,PO_000009,CAD,"110,203.02","113,144.66","10,942.58",,,0.00,"113,144.66"
ITB_SAN_01,VENDOR_000004,PO_000010,CAD,"49,118.45","48,190.57","4,445.48",,,0.00,"48,190.57"
ITB_SAN_01,VENDOR_000004,PO_000011,CAD,"111,732.01","118,252.64",0.00,,,0.00,"118,252.64"
ITB_SAN_01,VENDOR_000004,PO_000012,CAD,"105,094.00","103,844.45",0.00,,,0.00,"103,844.45"
ITB_SAN_01,VENDOR_000004,PO_000013,CAD,"92,994.88","89,671.84",0.00,,,0.00,"89,671.84"
ITB_SAN_01,VENDOR_000004,PO_000014,CAD,"83,889.57","87,056.47",0.00,,,0.00,"87,056.47"
ITB_SAN_01,VENDOR_000005,PO_000015,CAD,586.94,586.50,0.00,,,0.00,586.50
ITB_SAN_01,VENDOR_000005,PO_000016,CAD,631.48,652.27,0.00,,,0.00,652.27
ITB_SAN_01,VENDOR_000006,PO_000017,CAD,"4,393.89","4,088.02",0.00,,,0.00,"4,088.02"
ITB_SAN_01,VENDOR_000007,PO_000018,Euro,"1,502,293.88","2,399,701.26",0.00,,,"48,687.02","2,351,014.24"
ITB_SAN_01,VENDOR_000007,PO_000019,Euro,"6,877,017.99","10,945,133.06",0.00,,,"767,682.50","10,177,450.56"
ITB_SAN_01,VENDOR_000002,PO_000020,CAD,325.78,302.26,0.00,,,327.90,0.00
ITB_SAN_01,VENDOR_000002,PO_000021,CAD,139.60,135.77,0.00,,,142.60,0.00
ITB_SAN_01,VENDOR_000002,PO_000022,CAD,310.56,301.33,0.00,,,308.30,0.00
ITB_SAN_01,VENDOR_000002,PO_000023,CAD,492.20,535.65,0.00,,,0.00,535.65
ITB_SAN_01,VENDOR_000002,PO_000024,CAD,962.69,"1,049.71",0.00,,,"1,041.70",8.01
ITB_SAN_01,VENDOR_000002,PO_000025,CAD,73.40,77.66,0.00,,,79.46,0.00
ITB_SAN_01,VENDOR_000002,PO_000026,CAD,765.01,781.90,0.00,,,0.00,781.90
ITB_SAN_01,VENDOR_000002,PO_000027,CAD,700.50,662.04,0.00,,,664.40,0.00
ITB_SAN_01,VENDOR_000002,PO_000028,CAD,25.10,25.06,0.00,,,24.56,0.50
ITB_SAN_01,VENDOR_000002,PO_000029,CAD,319.39,332.13,0.00,,,339.16,0.00
ITB_SAN_01,VENDOR_000002,PO_000030,CAD,47.35,48.18,0.00,,,47.41,0.76
ITB_SAN_01,VENDOR_000002,PO_000031,CAD,592.15,605.82,612.26,,,0.00,605.82
ITB_SAN_01,VENDOR_000002,PO_000032,CAD,51.01,51.07,0.00,,,51.12,0.00
ITB_SAN_01,VENDOR_000002,PO_000033,CAD,236.30,233.68,233.58,,,0.00,233.68
ITB_SAN_01,VENDOR_000002,PO_000034,CAD,9.17,9.51,9.10,,,0.00,9.51
ITB_SAN_01,VENDOR_000002,PO_000035,CAD,192.87,193.26,185.21,,,0.00,193.26
ITB_SAN_01,VENDOR_000002,PO_000036,CAD,37.71,41.44,39.25,,,0.00,41.44
ITB_SAN_01,VENDOR_000002,PO_000037,CAD,41.39,39.77,42.55,,,0.00,39.77
ITB_SAN_01,VENDOR_000002,PO_000038,CAD,36.43,35.34,36.96,,,0.00,35.34
ITB_SAN_01,VENDOR_000002,PO_000039,CAD,14.21,14.74,14.53,,,0.00,14.74
ITB_SAN_01,VENDOR_000002,PO_000040,CAD,541.72,516.39,554.64,,,0.00,516.39
ITB_SAN_01,VENDOR_000002,PO_000041,CAD,341.34,363.85,361.93,,,0.00,363.85
ITB_SAN_01,VENDOR_000002,PO_000042,CAD,46.88,48.19,45.26,,,0.00,48.19
ITB_SAN_01,VENDOR_000002,PO_000043,CAD,"1,413.89","1,333.28",0.00,,,0.00,"1,333.28"
ITB_SAN_01,VENDOR_000002,PO_000044,CAD,707.40,705.47,0.00,,,0.00,705.47
ITB_SAN_01,VENDOR_000002,PO_000045,CAD,75.44,76.51,0.00,,,0.00,76.51
ITB_SAN_01,VENDOR_000002,PO_000046,CAD,92.17,90.89,0.00,,,0.00,90.89
ITB_SAN_01,VENDOR_000002,PO_000047,CAD,26.96,25.85,0.00,,,0.00,25.85
ITB_SAN_01,VENDOR_000002,PO_000048,CAD,8.24,8.40,0.00,,,0.00,8.40
ITB_SAN_01,VENDOR_000002,PO_000049,CAD,"1,005.92","1,040.01",0.00,,,0.00,"1,040.01"
ITB_SAN_01,VENDOR_000002,PO_000050,CAD,92.05,89.16,0.00,,,0.00,89.16
ITB_SAN_01,VENDOR_000002,PO_000051,CAD,22.26,22.10,0.00,,,0.00,22.10
ITB_SAN_01,VENDOR_000002,PO_000052,CAD,9.27,8.92,0.00,,,0.00,8.92
ITB_SAN_01,VENDOR_000002,PO_000053,CAD,201.16,199.61,0.00,,,0.00,199.61
ITB_SAN_01,VENDOR_000002,PO_000054,CAD,24.30,22.70,0.00,,,0.00,22.70
ITB_SAN_01,VENDOR_000002,PO_000055,CAD,25.21,25.64,0.00,,,0.00,25.64
ITB_SAN_01,VENDOR_000002,PO_000056,CAD,192.28,189.25,0.00,,,0.00,189.25
ITB_SAN_01,VENDOR_000002,PO_000057,CAD,20.98,21.58,0.00,,,0.00,21.58
