ITB_No,Ln_ITM_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5, Budget_at_Completion ,Overhead,Profit ,Budget_plus_Fee,Submitted_ActualCosts_LTD_without_fees,Submitted_ActualCosts_LTD_Overhead,Submitted_ActualCosts_LTD_Fee,Submitted_ActualCosts_LTD_with_fees,Certified_ActualCosts_LTD_without_fees,Certified_ActualCosts_LTD_Overhead,Certified_ActualCosts_LTD_Fee,Certified_ActualCosts_LTD_with_fees,Variance_LTD,Variance_Current_Submission,Total Variance,Variance_at_Completion,Estimate_at_Completion,Estimate_to_Complete,Cost_Type,Submitted_ Actual_Cost,Submitted_ Accrual_Cost,Submitted_Cost_Total (Actual),Submitted_1_FC,Submitted_2_FC,Submitted_3_FC,Submitted_FC_Total,Certified_Actual_Cost,Certified_Accrual_Cost,Certified_Cost_Total,Certified_1_FC,Certified_2_FC,Certified_3_FC,Certified_FC_Total,LTD_Certified_ with_Current_AFP
ITB_SAN_02,LN_000001,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000042,CBS_000048,CBS_000049,"$192,842.53","$27,936.73","$26,062.49","$250,848.51",,,,$0.00,,,,$0.00,,,$0.00,,"$256,583.99","$241,435.00",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_02,LN_000002,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000050,CBS_000051,"$725,224.57","$110,296.93","$94,240.26","$937,879.96",,,,$0.00,,,,$0.00,,,$0.00,,"$931,200.37","$961,917.41",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_02,LN_000003,BUNDLE_000002,CBS_000018,CBS_000047,CBS_000020,CBS_000052,CBS_000035,"$1,532,519.62","$229,340.82","$209,202.60","$1,945,607.63",,,,$0.00,,,,$0.00,,,$0.00,,"$1,981,882.91","$1,971,007.46",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_02,LN_000004,BUNDLE_000002,CBS_000018,CBS_000053,CBS_000020,CBS_000054,CBS_000051,"$652,747.68","$100,832.24","$85,755.92","$842,205.66",,,,$0.00,,,,$0.00,,,$0.00,,"$793,145.46","$785,529.77",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_02,LN_000005,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000035,$0.00,$0.00,$0.00,$0.00,,,,$0.00,,,,$0.00,,,$0.00,,$0.00,$0.00,Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_02,LN_000006,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000005,$0.00,$0.00,$0.00,$0.00,,,,"$132,473.09",,,,"$35,656.92",,,$0.00,,$0.00,"($37,977.21)",Direct,$0.00,"$107,782.41","$104,298.04","$80,370.58",$0.00,"$150,430.64","$225,142.00",$0.00,"$104,550.10","$104,383.26","$39,843.08",$0.00,$0.00,"$39,156.05","$170,767.44"
ITB_SAN_02,LN_000007,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000027,CBS_000049,"$1,246,483.96","$198,995.69","$172,495.31","$1,588,478.72",,,,"$777,674.92",,,,"$603,389.21",,,$0.00,,"$1,534,633.16","$968,166.35",Labour,$0.00,$0.00,$0.00,"$111,089.17","$111,476.66","$109,971.83","$339,134.81",$0.00,$0.00,$0.00,"$120,466.45","$112,888.70","$115,023.06","$344,249.84","$973,286.79"
ITB_SAN_02,LN_000008,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000046,CBS_000049,"$93,559.87","$13,941.25","$12,939.78","$119,934.70",,,,$0.00,,,,$0.00,,,$0.00,,"$125,136.39","$120,701.20",Labour,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
ITB_SAN_02,LN_000009,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000056,CBS_000049,"$265,380.36","$43,603.15","$37,038.73","$343,111.02",,,,$0.00,,,,$0.00,,,$0.00,,"$356,884.92","$355,220.66",Labour,$0.00,$0.00,$0.00,"$15,668.62","$15,275.37","$16,527.57","$46,567.54",$0.00,$0.00,$0.00,"$16,482.45","$15,340.87","$16,331.04","$48,330.10","$45,533.59"
ITB_SAN_02,LN_000010,BUNDLE_000002,CBS_000018,CBS_000019,CBS_000055,CBS_000057,CBS_000035,"$12,061.59","$1,929.56","$1,628.96","$15,761.29",,,,$0.00,,,,$0.00,,,$0.00,,"$15,556.82","$15,350.79",Direct,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
