ITB_No,Ln_ITM_ID,Cost_ID,Bundle_ID,CBS_1,CBS_2,CBS_3,CBS_4,CBS_5,CMS_Generated_No,Vendor_Name,Reimbursement_Type,Cost_Type,Activity,Activity_Name,Cost_ID_Description,Cost_Element_Category_Ref,Invoice_number,UploadCheck_RFP_RFQ_GateForm,ValueOf_RFP_RFQ_GateForm,Submitted_ACWP,Submitted_OH,Submitted_Profit,Submitted_ACWP_w_Fee,Certified_Without_Fee,Unauthorized_WO_Fee,Deauthorization_category,Certified Amount,Certified Overhead,Certified Profit,Certified_Amount_W_Fee
ITB_SAN_03,,COST_000068,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000737,,,Direct,ACT_000001,ACTN_000001,DESC_COST_000068,,,,,"4,321.22",669.78,620.07,"5,827.69",,,,,,,
ITB_SAN_03,,COST_000053,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000739,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000053,,OTPI - 06162025,,,-0.01,0.00,0.00,-0.01,,,,,,,
ITB_SAN_03,,COST_000069,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000740,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000069,,1MWQ-G7MD-HL9Q,,,259.56,38.57,34.60,342.77,,,,,,,
ITB_SAN_03,,COST_000070,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000741,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000070,,CA5YGOZE7P2I/ CA5B63APZRKI,,,159.13,22.88,21.37,197.68,,,,,,,
ITB_SAN_03,,COST_000046,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000742,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000046,,CA53BM7M8II,,,10.27,1.52,1.44,13.46,,,,,,,
ITB_SAN_03,,COST_000047,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000743,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000047,,CA57L4JAE6I,,,218.07,34.15,27.43,272.46,,,,,,,
ITB_SAN_03,,COST_000045,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000744,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000045,,CA53NH5SWSZI/ CA51SGLMQT0I,,,37.93,5.97,4.98,53.01,,,,,,,
ITB_SAN_03,,COST_000009,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000745,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000009,,CA5BLVO3UAI,,,16.63,2.59,2.27,22.21,,,,,,,
ITB_SAN_03,,COST_000048,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000746,,,Direct,ACT_000001,ACTN_000002,DESC_COST_000048,,CA5E8XMX86SI,,,586.66,91.60,80.21,801.28,,,,,,,
ITB_SAN_03,,COST_000039,BUNDLE_000001,CBS_000001,CBS_000002,CBS_000003,CBS_000004,CBS_000005,ONX-EM-ERPC-0000747,,,Direct,ACT_000001,ACTN_000003,DESC_COST_000039,,CA52KGGR902I/ CA51LHKIJACCUI,,,57.36,8.99,7.96,75.52,,,,,,,
